service_id,exception_type,date
34,1,20240808
34,2,20240730
34,2,20240731
34,2,20240805
341,2,20240724
341,2,20240728
344,1,20240808
345,1,20240727
345,1,20240728
347,1,20240806
347,1,20240807
348,2,20240810
35,1,20240801
35,1,20240808
354,2,20240729
354,2,20240810
354,2,20240815
357,1,20240808
357,1,20240810
357,1,20240811
358,2,20240729
358,2,20240730
358,2,20240731
358,2,20240801
36,1,20240809
36,2,20240805
36,2,20240806
36,2,20240807
36,2,20240808
367,1,20240809
367,1,20240810
367,1,20240812
37,1,20240811
37,1,20240812
37,1,20240818
37,1,20240819
372,1,20240727
372,1,20240728
372,2,20240731
373,2,20240731
374,1,20240817
377,2,20240811
377,2,20240815
38,1,20240803
383,2,20240810
385,2,20240727
385,2,20240728
385,2,20240729
385,2,20240730
385,2,20240731
385,2,20240801
386,1,20240810
39,1,20240802
390,1,20240721
392,2,20240811
395,2,20240803
395,2,20240804
395,2,20240809
395,2,20240815
398,1,20240727
398,1,20240803
398,2,20240729
398,2,20240815
398,2,20240818
4,1,20240803
4,2,20240728
40,1,20240818
40,1,20240819
40,1,20240820
403,1,20240725
403,1,20240805
403,1,20240807
405,1,20240812
405,1,20240813
405,1,20240814
405,1,20240815
407,2,20240811
41,2,20240819
411,2,20240817
411,2,20240818
414,2,20240801
416,1,20240820
417,2,20240730
417,2,20240731
417,2,20240801
422,2,20240726
424,2,20240730
424,2,20240815
426,2,20240727
426,2,20240728
428,1,20240801
432,2,20240815
433,1,20240809
434,1,20240727
434,1,20240817
438,2,20240730
438,2,20240731
438,2,20240801
438,2,20240802
44,2,20240727
44,2,20240728
444,2,20240815
444,2,20240818
447,2,20240803
448,1,20240727
448,1,20240809
448,1,20240810
448,1,20240811
448,1,20240816
448,1,20240817
448,1,20240818
449,1,20240807
45,2,20240815
45,2,20240818
452,2,20240802
452,2,20240806
453,2,20240729
453,2,20240730
453,2,20240818
456,2,20240813
458,1,20240725
458,1,20240730
458,2,20240802
458,2,20240805
460,2,20240729
460,2,20240730
460,2,20240731
461,1,20240816
461,1,20240817
467,1,20240721
467,1,20240803
468,2,20240729
468,2,20240730
468,2,20240731
468,2,20240801
468,2,20240802
469,1,20240810
469,1,20240817
469,2,20240728
47,1,20240803
473,1,20240729
473,1,20240802
473,1,20240803
473,1,20240804
474,1,20240816
474,1,20240817
476,1,20240726
476,1,20240802
476,1,20240804
476,1,20240805
476,1,20240806
476,1,20240807
476,1,20240808
477,1,20240730
477,1,20240804
485,2,20240803
485,2,20240804
488,1,20240815
488,2,20240726
488,2,20240807
49,2,20240812
49,2,20240813
49,2,20240814
493,1,20240812
495,2,20240729
495,2,20240730
495,2,20240731
5,1,20240730
5,1,20240731
502,1,20240818
503,2,20240813
503,2,20240814
503,2,20240815
504,1,20240811
505,1,20240722
505,1,20240723
505,1,20240724
505,1,20240726
505,1,20240727
505,1,20240811
505,1,20240812
509,1,20240819
510,1,20240722
510,1,20240723
510,1,20240724
510,1,20240727
514,1,20240726
515,1,20240725
515,1,20240726
515,1,20240727
515,2,20240724
516,2,20240816
516,2,20240817
518,1,20240721
518,1,20240725
518,1,20240726
522,1,20240722
522,1,20240802
522,1,20240806
526,1,20240816
526,1,20240818
526,1,20240819
526,1,20240820
527,2,20240729
527,2,20240730
527,2,20240731
527,2,20240801
528,1,20240812
528,1,20240813
528,1,20240814
528,1,20240815
529,1,20240816
529,1,20240817
529,1,20240819
529,1,20240820
53,1,20240726
53,2,20240725
530,1,20240817
530,2,20240815
537,1,20240726
537,1,20240727
537,1,20240729
537,1,20240812
538,1,20240727
538,1,20240728
538,1,20240807
539,2,20240803
539,2,20240804
540,1,20240727
540,1,20240728
540,1,20240805
547,1,20240808
550,1,20240728
550,1,20240804
550,2,20240730
550,2,20240731
550,2,20240801
551,1,20240727
551,1,20240805
556,1,20240725
556,1,20240802
556,1,20240803
556,1,20240805
556,1,20240806
556,1,20240807
556,1,20240808
560,1,20240808
560,1,20240809
561,1,20240722
561,1,20240723
561,1,20240724
561,1,20240725
561,1,20240726
561,1,20240727
561,1,20240812
564,1,20240727
564,1,20240810
564,2,20240804
564,2,20240809
564,2,20240818
566,1,20240727
566,1,20240728
566,1,20240804
566,1,20240805
566,1,20240806
567,1,20240728
567,1,20240802
569,1,20240727
569,1,20240728
569,2,20240813
569,2,20240814
569,2,20240815
57,1,20240806
57,1,20240807
571,1,20240817
571,1,20240818
571,2,20240815
577,1,20240721
577,1,20240728
578,1,20240726
578,1,20240729
578,1,20240806
578,1,20240812
578,1,20240815
579,1,20240801
579,2,20240804
579,2,20240805
579,2,20240806
579,2,20240807
581,1,20240721
583,1,20240803
583,1,20240804
583,1,20240810
583,1,20240811
583,1,20240817
583,1,20240818
587,2,20240730
587,2,20240731
587,2,20240801
587,2,20240810
590,2,20240803
590,2,20240804
590,2,20240815
592,1,20240810
592,1,20240817
592,2,20240813
592,2,20240814
592,2,20240815
592,2,20240816
593,1,20240811
594,1,20240816
595,1,20240730
595,1,20240731
595,1,20240801
597,1,20240727
597,1,20240728
597,1,20240805
597,1,20240806
597,1,20240807
598,1,20240730
599,1,20240722
6,1,20240722
6,1,20240723
6,1,20240724
601,1,20240729
601,1,20240802
601,1,20240810
602,1,20240808
602,1,20240811
603,1,20240729
603,1,20240807
604,1,20240727
604,1,20240728
604,1,20240810
604,1,20240811
604,2,20240805
611,1,20240731
618,1,20240802
619,1,20240819
619,1,20240820
621,1,20240801
621,1,20240802
625,1,20240816
625,1,20240817
625,1,20240818
627,1,20240810
628,1,20240726
628,2,20240724
628,2,20240801
628,2,20240804
630,1,20240729
631,1,20240815
632,1,20240727
632,1,20240728
632,1,20240810
632,1,20240811
632,2,20240730
632,2,20240731
632,2,20240801
632,2,20240805
633,1,20240803
634,1,20240803
634,2,20240728
634,2,20240729
634,2,20240730
634,2,20240731
637,1,20240808
640,1,20240810
640,1,20240811
640,1,20240817
640,1,20240818
641,1,20240814
643,2,20240729
643,2,20240815
643,2,20240817
643,2,20240818
644,1,20240818
646,2,20240803
649,2,20240810
650,1,20240801
653,1,20240816
653,1,20240817
653,1,20240818
655,2,20240726
655,2,20240728
656,2,20240816
656,2,20240817
657,2,20240722
658,1,20240731
659,1,20240729
659,1,20240812
660,1,20240816
660,1,20240817
660,1,20240819
660,1,20240820
661,1,20240808
663,1,20240721
663,1,20240802
663,1,20240803
664,1,20240729
668,2,20240809
67,1,20240817
67,1,20240818
67,1,20240819
67,1,20240820
673,1,20240727
681,1,20240801
681,1,20240818
684,2,20240817
684,2,20240818
685,2,20240815
685,2,20240817
685,2,20240818
687,2,20240801
687,2,20240818
690,1,20240807
